"","date","mktRF","size","BM"
"373","19910501","-0.9267","1.4187","-0.2885"
"374","19910502","-1.4997","-0.0582","1.2034"
"375","19910503","1.2496","-0.5160","0.0538"
"376","19910504","1.1698","0.5240","-0.5109"
"377","19910506","3.1049","0.1704","0.5179"
"378","19910507","0.9302","-0.6507","-0.6820"
"379","19910508","-0.0343","-0.9709","-2.6318"
"380","19910509","2.1223","-2.0937","-2.0311"
"381","19910510","-0.0296","0.5958","-0.7868"
"382","19910511","-1.0658","0.0590","1.8337"
"383","19910513","-1.9043","-0.3651","-0.1624"
"384","19910514","0.2669","-0.0199","-0.4739"
"385","19910515","-6.5624","0.0352","-0.3075"
"386","19910516","1.0439","-1.0254","-0.6806"
"387","19910517","3.9083","0.6620","0.1684"
"388","19910518","-0.7084","-1.5214","-2.2934"
"389","19910520","2.0126","0.7283","0.3635"
"390","19910521","0.5341","0.3543","-1.5684"
"391","19910522","0.4464","1.6768","2.2138"
"392","19910523","-0.1828","0.3715","-0.3256"
"393","19910524","-1.2634","1.3970","-0.6956"
"394","19910525","-2.1582","0.6051","-0.0937"
"395","19910527","-1.0590","-0.7561","0.6597"
"396","19910528","0.5692","0.0692","-0.0557"
"397","19910529","-3.6702","-0.2753","1.1178"
"398","19910530","-1.9245","-1.3520","1.3868"
"399","19910531","0.2070","-0.2935","0.5496"
"400","19910601","2.0774","0.6788","0.2831"
"401","19910603","-0.4858","0.1592","0.7121"
"402","19910604","-2.2593","0.7057","0.5968"
"403","19910605","1.6059","-0.0899","-0.1004"
"404","19910606","0.3292","0.1357","0.0029"
"405","19910607","2.2156","-0.0600","1.6997"
"406","19910608","1.8650","0.0733","0.5641"
"407","19910610","-1.1829","0.5104","0.3587"
"408","19910611","-0.1448","0.6876","0.0817"
"409","19910612","-1.7793","-0.4019","-0.8017"
"410","19910613","0.3873","-0.1825","0.3503"
"411","19910614","0.7304","0.0337","0.1003"
"412","19910615","1.8098","0.2078","0.3598"
"413","19910618","1.6320","0.2834","-0.0129"
"414","19910619","0.1726","-0.3167","0.7848"
"415","19910620","-1.0402","0.2001","-0.3774"
"416","19910621","0.9340","0.2425","0.6871"
"417","19910622","1.5732","-0.3235","-0.4052"
"418","19910624","-0.6348","1.0803","0.5349"
"419","19910625","-3.5582","-1.4460","-0.8394"
"420","19910626","2.5226","0.4891","0.6009"
"421","19910627","-1.5636","-0.0868","-0.3131"
"422","19910628","-0.5334","0.0360","0.2758"
"423","19910629","-2.2230","0.1579","0.6141"
"424","19910702","-2.6692","0.8987","2.2640"
"425","19910703","-0.1827","0.8485","0.9873"
"426","19910704","0.0831","-0.2781","-0.0315"
"427","19910705","-0.3402","0.5276","0.2028"
"428","19910706","-3.2117","-0.0368","0.1184"
"429","19910708","-1.8225","-0.4941","0.6587"
"430","19910709","-0.2283","-1.2781","0.6087"
"431","19910710","2.7875","0.3647","-0.7450"
"432","19910711","-2.7092","0.5106","-0.2693"
"433","19910712","0.2805","0.6698","-0.9674"
"434","19910713","1.4987","0.2624","-0.8144"
"435","19910715","-2.5225","-0.0730","-0.2572"
"436","19910716","-2.1955","-0.9134","-1.6588"
"437","19910717","0.9267","0.2812","-0.7928"
"438","19910718","0.1043","0.2640","0.4173"
"439","19910720","-1.6691","0.1594","0.2304"
"440","19910722","-4.9674","-0.6446","-0.0941"
"441","19910723","-1.3362","-1.0268","0.4194"
"442","19910724","3.9750","0.6176","1.8465"
"443","19910725","0.9676","0.2083","1.6364"
